"cases","day","population"
9,1,"A"
11,2,"A"
18,3,"A"
25,4,"A"
50,5,"A"
91,6,"A"
114,7,"A"
152,8,"A"
213,9,"A"
238,10,"A"
290,11,"A"
276,12,"A"
203,13,"A"
148,14,"A"
114,15,"A"
75,16,"A"
45,17,"A"
33,18,"A"
20,19,"A"
20,20,"A"
13,21,"A"
6,22,"A"
7,23,"A"
4,24,"A"
3,25,"A"
2,26,"A"
1,27,"A"
2,28,"A"
0,29,"A"
0,30,"A"
0,31,"A"
0,32,"A"
1,33,"A"
0,34,"A"
0,35,"A"
0,36,"A"
0,37,"A"
0,38,"A"
0,39,"A"
0,40,"A"
0,41,"A"
0,42,"A"
0,43,"A"
0,44,"A"
0,45,"A"
0,46,"A"
0,47,"A"
0,48,"A"
0,49,"A"
0,50,"A"
0,51,"A"
0,52,"A"
0,53,"A"
0,54,"A"
0,55,"A"
0,56,"A"
0,57,"A"
0,58,"A"
0,59,"A"
0,60,"A"
0,61,"A"
0,62,"A"
0,63,"A"
0,64,"A"
0,65,"A"
0,66,"A"
0,67,"A"
0,68,"A"
0,69,"A"
0,70,"A"
0,71,"A"
0,72,"A"
0,73,"A"
0,74,"A"
0,75,"A"
0,76,"A"
0,77,"A"
0,78,"A"
0,79,"A"
0,80,"A"
0,81,"A"
0,82,"A"
0,83,"A"
0,84,"A"
0,85,"A"
0,86,"A"
0,87,"A"
0,88,"A"
0,89,"A"
0,90,"A"
0,91,"A"
0,92,"A"
0,93,"A"
0,94,"A"
0,95,"A"
0,96,"A"
0,97,"A"
0,98,"A"
0,99,"A"
0,100,"A"
10,1,"B"
11,2,"B"
26,3,"B"
42,4,"B"
52,5,"B"
69,6,"B"
122,7,"B"
169,8,"B"
196,9,"B"
238,10,"B"
275,11,"B"
253,12,"B"
241,13,"B"
193,14,"B"
154,15,"B"
115,16,"B"
77,17,"B"
68,18,"B"
41,19,"B"
34,20,"B"
22,21,"B"
6,22,"B"
4,23,"B"
6,24,"B"
1,25,"B"
4,26,"B"
3,27,"B"
1,28,"B"
3,29,"B"
0,30,"B"
0,31,"B"
2,32,"B"
1,33,"B"
1,34,"B"
1,35,"B"
1,36,"B"
2,37,"B"
0,38,"B"
0,39,"B"
0,40,"B"
0,41,"B"
0,42,"B"
1,43,"B"
0,44,"B"
0,45,"B"
0,46,"B"
0,47,"B"
1,48,"B"
0,49,"B"
0,50,"B"
0,51,"B"
0,52,"B"
0,53,"B"
0,54,"B"
0,55,"B"
0,56,"B"
0,57,"B"
0,58,"B"
0,59,"B"
0,60,"B"
0,61,"B"
0,62,"B"
0,63,"B"
0,64,"B"
0,65,"B"
0,66,"B"
0,67,"B"
0,68,"B"
0,69,"B"
0,70,"B"
0,71,"B"
0,72,"B"
0,73,"B"
0,74,"B"
0,75,"B"
0,76,"B"
0,77,"B"
0,78,"B"
0,79,"B"
0,80,"B"
0,81,"B"
0,82,"B"
0,83,"B"
0,84,"B"
0,85,"B"
0,86,"B"
0,87,"B"
0,88,"B"
0,89,"B"
0,90,"B"
0,91,"B"
0,92,"B"
0,93,"B"
0,94,"B"
0,95,"B"
0,96,"B"
0,97,"B"
0,98,"B"
0,99,"B"
0,100,"B"
